num,time_ordered,time_inverse,time_random
500,0.0003730000,0.0012910000,0.0008210000
1000,0.0015370000,0.0045790000,0.0026050000
2000,0.0060540000,0.0206490000,0.0150230000
4000,0.0279620000,0.0821090000,0.0489000000
8000,0.0914450000,0.3169820000,0.2212560000
16000,0.3637610000,1.2567600000,0.9220710000
32000,1.4420220000,5.0425190000,4.0074140000
64000,5.8948110000,20.1510310000,16.8472420000
128000,23.3422610000,80.8501910000,70.1514690000
256000,93.2121200000,325.9606040000,291.1090420000
512000,375.2091850000,1322.4058790000,1193.5996180000
1024000,1507.4642570000,5292.4580580000,4774.2459760000
2048000,6062.1854090000,21523.1213120000,19475.1146270000
