num,time_ordered,time_inverse,time_random
500,0.0000570000,0.0000630000,0.0000630000
1000,0.0001240000,0.0001140000,0.0001400000
2000,0.0002640000,0.0002590000,0.0003060000
4000,0.0005820000,0.0005470000,0.0007000000
8000,0.0012260000,0.0011650000,0.0014830000
16000,0.0027020000,0.0027060000,0.0033270000
32000,0.0056700000,0.0054440000,0.0077980000
64000,0.0137410000,0.0136870000,0.0181500000
128000,0.0298620000,0.0277300000,0.0360970000
256000,0.0628530000,0.0574280000,0.0795120000
512000,0.1346130000,0.1238260000,0.2147860000
1024000,0.2678360000,0.2759200000,0.4394850000
2048000,0.5524410000,0.5673700000,1.0299720000
