num,time_ordered,time_inverse,time_random
500,0.0000030000,0.0003560000,0.0001790000
1000,0.0000040000,0.0013420000,0.0006600000
2000,0.0000070000,0.0052670000,0.0039750000
4000,0.0000170000,0.0223730000,0.0108100000
8000,0.0000270000,0.1001470000,0.0485730000
16000,0.0000790000,0.3913680000,0.1950200000
32000,0.0001300000,1.6053740000,0.8087790000
64000,0.0002100000,6.4043490000,3.1986430000
128000,0.0006970000,25.8024680000,12.8222870000
256000,0.0011510000,108.3514900000,53.3130410000
512000,0.0019810000,643.9664620000,340.1565570000
1024000,0.0040940000,2590.8543600000,1246.3634840000
2048000,0.0083640000,10062.8813230000,4872.0873870000
