num,time_ordered,time_inverse,time_random
500,0.0000730000,0.0000350000,0.0000550000
1000,0.0001170000,0.0000760000,0.0001290000
2000,0.0001640000,0.0001640000,0.0002520000
4000,0.0003470000,0.0003480000,0.0005410000
8000,0.0007530000,0.0009620000,0.0013750000
16000,0.0020170000,0.0020410000,0.0032310000
32000,0.0050900000,0.0045630000,0.0081410000
64000,0.0115780000,0.0093040000,0.0191060000
128000,0.0214830000,0.0241190000,0.0286670000
256000,0.0401510000,0.0416560000,0.0595850000
512000,0.0869880000,0.0874320000,0.1270640000
1024000,0.2443710000,0.1795140000,0.2662250000
2048000,0.5443330000,0.3816950000,0.5741640000
